archivo,duracion_seg,sample_rate,canales,formato
spontaneous-speech-es-71834.wav,11.27,16000,1,WAV
spontaneous-speech-es-71835.wav,24.48,16000,1,WAV
spontaneous-speech-es-74952.wav,6.37,16000,1,WAV
spontaneous-speech-es-74953.wav,4.79,16000,1,WAV
spontaneous-speech-es-74954.wav,5.65,16000,1,WAV
spontaneous-speech-es-74955.wav,5.18,16000,1,WAV
spontaneous-speech-es-74956.wav,6.41,16000,1,WAV
spontaneous-speech-es-74957.wav,10.37,16000,1,WAV
spontaneous-speech-es-74958.wav,5.76,16000,1,WAV
spontaneous-speech-es-74959.wav,7.85,16000,1,WAV
spontaneous-speech-es-74960.wav,20.88,16000,1,WAV
spontaneous-speech-es-78185.wav,1.98,16000,1,WAV
spontaneous-speech-es-79577.wav,4.72,16000,1,WAV
spontaneous-speech-es-80760.wav,4.21,16000,1,WAV
spontaneous-speech-es-80761.wav,6.23,16000,1,WAV
spontaneous-speech-es-80762.wav,9.47,16000,1,WAV
spontaneous-speech-es-80763.wav,7.81,16000,1,WAV
spontaneous-speech-es-82589.wav,5.76,16000,1,WAV
spontaneous-speech-es-82590.wav,1.55,16000,1,WAV
spontaneous-speech-es-83306.wav,5.44,16000,1,WAV
spontaneous-speech-es-83308.wav,10.37,16000,1,WAV
spontaneous-speech-es-83311.wav,2.7,16000,1,WAV
spontaneous-speech-es-83314.wav,5.87,16000,1,WAV
spontaneous-speech-es-83316.wav,9.4,16000,1,WAV
spontaneous-speech-es-83318.wav,6.84,16000,1,WAV
spontaneous-speech-es-83330.wav,7.02,16000,1,WAV
spontaneous-speech-es-83336.wav,12.28,16000,1,WAV
spontaneous-speech-es-83341.wav,7.02,16000,1,WAV
spontaneous-speech-es-83342.wav,1.48,16000,1,WAV
spontaneous-speech-es-83345.wav,6.41,16000,1,WAV
spontaneous-speech-es-83347.wav,4.5,16000,1,WAV
spontaneous-speech-es-83350.wav,4.61,16000,1,WAV
spontaneous-speech-es-83351.wav,8.32,16000,1,WAV
spontaneous-speech-es-83354.wav,13.18,16000,1,WAV
spontaneous-speech-es-83357.wav,8.46,16000,1,WAV
spontaneous-speech-es-83360.wav,7.02,16000,1,WAV
spontaneous-speech-es-83362.wav,3.35,16000,1,WAV
spontaneous-speech-es-83364.wav,6.84,16000,1,WAV
spontaneous-speech-es-83365.wav,4.43,16000,1,WAV
spontaneous-speech-es-83368.wav,5.26,16000,1,WAV
spontaneous-speech-es-83371.wav,5.26,16000,1,WAV
spontaneous-speech-es-83373.wav,2.52,16000,1,WAV
spontaneous-speech-es-83375.wav,3.53,16000,1,WAV
spontaneous-speech-es-83376.wav,3.71,16000,1,WAV
spontaneous-speech-es-83379.wav,1.73,16000,1,WAV
spontaneous-speech-es-83381.wav,5.69,16000,1,WAV
spontaneous-speech-es-83386.wav,2.38,16000,1,WAV
spontaneous-speech-es-83388.wav,2.27,16000,1,WAV
spontaneous-speech-es-83391.wav,7.78,16000,1,WAV
spontaneous-speech-es-83393.wav,3.28,16000,1,WAV
